created,text,retwc,hashtag,followers,friends
2017-05-02 17:57:16,b'RT @UrFavritAsshole: VIRGO: DONT STRESS OVER MONEY BECAUSE EVERYBODY IS HAVING MONEY PROBLEMS. TRY TO SAVE MONEY AND FIND A BETTER JOB HOE',24,None,200,181
2017-05-02 17:57:14,b'Mary Kate and Ashley are visual description of how I feel about adulting..just stress and even more stress \xf0\x9f\x98\x90',0,None,1160,749
2017-05-02 17:57:14,"b""Can't stress the shit outta your control, keep it pushin""",0,None,833,176
2017-05-02 17:57:13,b'RT @jade_furl: why stress over someone who isnt stressing over me????? gmfu',1,None,350,465
2017-05-02 17:57:13,b'RT @elisabracelandd: Cannot stress how IMPORTANT it is to tell people you love them while you  still can',131,None,394,136
2017-05-02 17:57:12,b'RT @KookieftSelena: RT if todays RUN BTS! Ep just took away all the stress and worries from today\n\nI vote @BTS_twt for the Top Social Artis\xe2\x80\xa6',15,None,2,13
2017-05-02 17:57:08,"b""@utsubora DON'T STRESS OUT! EVERYTHING IS GONNA BE OK! *HUG*""",0,None,114525,952
2017-05-02 17:57:08,"b""RT @danay__: Stop checking up on people you know don't give a fuck about you. Let your mind be stress free. It's useless""",122,None,14290,228
2017-05-02 17:57:07,b'@Natsume_Inc my all time favorite farming sim.. so relaxing/fun to play and helps relive stress.',0,None,3766,3122
2017-05-02 17:57:06,b'RT @plies: B4 I Let U Stress Me I Rather Stop F*ckin With U All 2gether......',4508,None,596,415
2017-05-02 17:57:05,b'RT @YungNarr: FAMU students just trying to enjoy their summer .. why you taking your finals week stress out on us \xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,None,2174,1566
2017-05-02 17:57:04,"b""RT @__Iceeee: @LifeOf_Tyee @dymon___ Ain't boutta stress my lil brain baby https://t.co/hMdHsoWjT8""",1,None,281,147
2017-05-02 17:57:03,"b""Well well well I'm back on Twitter! Here's my latest blog \xf0\x9f\x92\x9c\n\nhttps://t.co/1E8bjBY9K2\n\n#LupusAwareness #LupusMatters #lupus #lupuswarrior""",0,LupusAwareness,0,11
2017-05-02 17:57:02,"b""RT @Jimmy_hendrix_5: Took all my problems to GOD I'm leaving stress free""",4,None,826,590
2017-05-02 17:57:02,b'My poor neck is in too much pain to hold up the stress of today',0,None,719,374
2017-05-02 17:57:01,b'@bigdubo23times wassup with a stress remix?',0,None,3593,278
2017-05-02 17:57:00,b'RT @mfarca: @BuyAsheville828 @Rockyourmessage @acceptedalways @lifesanattitude @MoMo_SanDiego @Jessicasquared3 @harrisk1111 @AkashaGarnier\xe2\x80\xa6',3,None,116,116
2017-05-02 17:57:00,b'RT @PearlSattler: \xe2\x97\xbe\xef\xb8\x8fCOLLEGE STUDENTS\xe2\x97\xbe\xef\xb8\x8f\n\nPLEASE VOTE FOR ONE OF THE FOLLOWING ON WHAT YOUR BIGGEST STRESS IS IN COLLEGE. THANK YOU!',2,None,332,189
2017-05-02 17:57:00,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,5043,4855
2017-05-02 17:57:00,b'RT @Positivevibe101: Cutting toxic people out and minding your own business is KEY to living a happy stress free life',380,None,234,374
2017-05-02 17:56:58,"b'Just trying to tell myself that all the work, exhaustion, stress, and tears will eventually be worth it.'",0,None,482,655
2017-05-02 17:56:57,b'RT @oh_dipsy_di33r: Girls be stress honestly \xf0\x9f\x98\xa9',8,None,4048,1142
2017-05-02 17:56:57,b'When I have to think about life I honestly stress and curl up into a ball. And it all makes me want to live with mom forever . #adulting',0,adulting,158,327
2017-05-02 17:56:56,"b""I'm gonna go crazy from this stress""",0,None,503,282
2017-05-02 17:56:56,"b'The Friendly Swede Hand, Finger and Grip Strengthening Therapy Stress Balls, Set of 3 Resistance.. https://t.co/cUuoaXjxmJ'",0,None,352,233
2017-05-02 17:56:55,"b'RT @LahFlexico: Not everyone in your life are meant to stay so you gotta find the people who bring out the best in you, not the stress in y\xe2\x80\xa6'",2002,None,1051,1040
2017-05-02 17:56:55,"b'Because sometimes, you just need a break from classes and the stress\xe2\x80\xa6 https://t.co/aPe5FaWo25'",0,None,534,446
2017-05-02 17:56:54,b'@Jayziehl29 Want to make game day even better? Check out our stress-free parking guide for SunTrust Park! https://t.co/N2T881wo58 \xe2\x9a\xbe\xef\xb8\x8f',0,None,833621,57993
2017-05-02 17:56:53,"b'RT @S_2Ch: In most situations just see the funny side. If you take everything to heart, stress go kill you cheap.'",89,None,2365,2011
2017-05-02 17:56:51,b'RT @DOPEDAEGU: I vote @BTS_twt for Top Social Artist Award #BTSBBMAs\n\ni cant stress enough how jimin looks SO GOOD with everything he just\xe2\x80\xa6',747,BTSBBMAs,51,81
2017-05-02 17:56:49,"b""RT @Angel_stiitch: Once I notice you're never as excited as I am to chat with you, I'll give you that space and let life go on. No time for\xe2\x80\xa6""",742,None,892,484
2017-05-02 17:56:49,"b""RT @asia_xoxo_: I don't stress shit anymore it is what it is""",140,None,659,857
2017-05-02 17:56:48,"b'RT @DrJenCaudle: I\'m doing a FB Live with Dr. Oz\'s health website, Sharecare, at 3pm EST on how to ""stay calm and beat stress!""... https://\xe2\x80\xa6'",1,None,979,2683
2017-05-02 17:56:46,"b""@Syazanamahadi babe kau stress out sgt if I were u I'll be so damn depressed like shit depressed gila.""",0,None,214,432
2017-05-02 17:56:44,b'Son I thought these were stress toys so I was pulling on it the whole test \xf0\x9f\x92\x80 https://t.co/4uZPJuHDtt',0,None,181,149
2017-05-02 17:56:43,b'This the reason weed legal there cuz this would stress niggas out https://t.co/f6ZnWj3Be9',0,None,3632,1488
2017-05-02 17:56:41,"b'RT @DickHumbler: Be thankful for little things. Growth, clean water, food, warm bed. Right now someone is praying for the life you complain\xe2\x80\xa6'",877,None,194,136
