created,text,retwc,hashtag,followers,friends
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,54575,54942
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,22123,16995
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,14657,14155
5/5/2017 1:48,b'Over thinking &amp;amp; stress can lead to weight gain. Go for a run &amp;amp; let it all out.',0,None,2781,1906
5/5/2017 1:48,b'Please Watch- Inside the heartbreak and stress of vaccine injured children.\n\nEpisode 4 \xe2\x80\x93 Watch now free https://t.co/aKV7mgY42Z via @',0,None,6597,3220
5/5/2017 1:48,b'RT @degg: gay: sticking a dildo up your ass\n\nNOT GAY: sucking on a dildo while driving to work because it relieves stress. a lot of guys do\xe2\x80\xa6',352,None,671,610
5/5/2017 1:48,"b""RT @omgfeeIs: everything is temporary, don't stress""",352,None,99,113
5/5/2017 1:48,b'i cannot stress this enough https://t.co/toUsodEvVd',0,None,2438,2185
5/5/2017 1:47,b'RT @clearlyyaqueen: The stress has kicked in https://t.co/Fs2DZuwv05',776,None,888,2708
5/5/2017 1:47,b'RT @motivate: if only stress burned calories',228,None,533,417
5/5/2017 1:47,b'Talk about stress',0,None,85,122
5/5/2017 1:47,"b""RT @LifelnWords: Don't stress. https://t.co/q5PXUhfpM4""",900,None,159,451
5/5/2017 1:47,"b'RT @activist360: Tragically, stress &amp; anxiety of knowing w/ a pre-existing condition insurance will be unaffordable \xe2\x80\x94 this alone will kill\xe2\x80\xa6'",153,None,172,565
5/5/2017 1:47,"b""I literally stress myself out until the point I can't sleep. I'm literally sleep deprived, 7 hours of sleep in 2 days &amp; still can't sleep \xf0\x9f\x98\xa3""",0,None,98,188
5/5/2017 1:47,"b'I just finished my last school assignment ever. The amount of anxiety, stress and tears over the last 22 years...over. All so worth it \xe2\x98\xba\xef\xb8\x8f'",0,None,1441,936
5/5/2017 1:47,b'@iHeartRadioCA I hope I win the harry styles tickets. I keep getting pimples from the stress. \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',0,None,808,1113
5/5/2017 1:47,"b""I've literally been so stress I've been making myself sick \xf0\x9f\x99\x83""",0,None,16,29
5/5/2017 1:47,"b""I'm gonna be stress eating until I have tickets in my hands""",0,None,6712,151
5/5/2017 1:47,"b'RT @FeelingsText: No lovelife, no commitment, less stress.'",269,None,400,314
5/5/2017 1:47,"b""RT @favLlGHTSKlN: can't stress this enough. i'm so understanding lol like just let me know what your intentions are. https://t.co/srf2dXaRBX""",3114,None,623,341
5/5/2017 1:47,"b'Stress makes you bald, but it\xe2\x80\x99s stressful to avoid stress, so you end up stressed out anyway, so in the end there\xe2\x80\x99s nothing you can do.'",0,None,563,774
5/5/2017 1:47,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,3,351
5/5/2017 1:47,"b""RT @kissmeyoufoolLS: honestly when 1D comes back we all should get free tickets to their show because of all this stress they've caused us\xe2\x80\xa6""",1372,None,3605,2242
5/5/2017 1:47,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,2,329
5/5/2017 1:47,"b""RT @PolarBears: #Yoga Bear Wednesday brings you a momentary stress free zone with an old polar bear favorite\xe2\x80\x93\xe2\x80\x93\xe2\x80\x93child's pose with cactus arm\xe2\x80\xa6""",37,Yoga,36035,30971
5/5/2017 1:47,"b'@20committee Please let it be soon, because all of this stress is turning me into a cat person....'",0,None,15,72
